article_text,paragraphs,article,n_characters,news_site,article_text_eng
"Deutsch Tamás szerint így ha valaki vétót emel, az nem csinál mást, mint él azon jogával, hogy jelzi: nincs meg a teljes egyetértés.    ",3,12,136,Index,"According to Thomas Deutsch, therefore, if a person raises a veto, he does not do anything but exercise his right to indicate that there is no full agreement."
"Úgy fogalmazott, sokan remélték, hogy",4,12,37,Index,He said many hoped that
"Deutsch Tamás szerint az európai országok Magyarország kivételével feltették a kezüket, amikor tömeges illegálisbevándorló-áradat indult a kontinens felé, sőt",5,12,158,Index,"According to Tamás Deutsch, European countries, with the exception of Hungary, raised their hands when a mass flow of illegal immigrants started to the continent, and even"
"A Demokratikus Koalíció európai parlamenti képviselője szerint nem lehet tétlenül nézni, ahogy magyar családok százezrei küzdenek a válsággal, miközben „a kormány nem segít nekik”. Dobrev Klára szerint Orbán Viktor inkább az Európai Unióval hadakozik, pedig segítséget éppen onnan várhatunk.",1,13,291,Index,"According to the MEP of the Democratic Coalition, hundreds of thousands of Hungarian families are struggling with the crisis, while “the government is not helping them.” According to Klára Dobrev, Viktor Orbán prefers to fight with the European Union, although we can expect help from there."
"A miniszterelnök levélben tájékoztatta a soros német elnökséget képviselő Angela Merkelt és az uniós vezetőket, hogy a magyar kormány megvétózza az EU hétéves költségvetésével és a helyreállítási alappal kapcsolatos jogalkotást.",2,13,228,Index,"By letter, the Prime Minister informed Angela Merkel, representing the German presidency, and EU leaders that the Hungarian government would veto legislation on the EU's seven-year budget and the recovery fund."
vétó helyett a kormány fogadja el az EU válságkezelő támogatását.,3,13,65,Index,"instead of a veto, the government accepts EU crisis management support."
"A petíció oldalán azt írják, hogy az uniós helyreállítási pénzeket csak az emberek támogatására lehetne költeni, ezért nem lehet ellopni sem.",4,13,141,Index,"On the petition side, it is written that EU recovery money could only be spent on support for people, and therefore cannot be stolen either."
"A DK szerint azért vétózott Orbán Viktor az Európai Unióban, mert „ha ő és oligarchái nem szerezhetik meg ezt a pénzt, akkor az ne legyen a magyaroké sem”.",5,13,155,Index,"According to DK, Viktor Orbán vetoed in the European Union because “if he and his oligarchs cannot get this money, then it should not be for Hungarians”."
"A magyar kormánynak (és a szintén vétózó Lengyelországnak) elsősorban az a problémája, hogy az unió következő hétéves költségvetési ciklusával összekötnék a jogállamisági feltételrendszert. Varga Judit az Indexnek ezt „ideológiai alapú fenyegetőzésnek” nevezte.",6,13,261,Index,"The problem of the Hungarian government (and Poland, which is also vetoing), is that the rule of law conditionality would be linked to the next seven-year budget cycle of the Union. Judit Varga called Index “ideological threats”."
"Az igazságügyi miniszter szerint semmilyen alapja nincsen annak, hogy politikai és ideológiai feltételekhez kössék az uniós pénzek kifizetését. Az Indexnek korábban azt mondta: ennek beemelése több ponton szembemegy az uniós jogszabályokkal, és „egy ideológiai alapon tervezett” szankciós eszközt akarnak elfogadni, amit Magyarország és Lengyelország ellen alkalmaznának.",7,13,371,Index,"According to the Minister of Justice, there is no basis for imposing political and ideological conditions on the payment of EU funds. He said to Index earlier that its inclusion goes against EU legislation on a number of points, and they want to adopt a sanction instrument “planned on an ideological basis”, which would be applied against Hungary and Poland."
"Az ellenzéki pártok elítélték a vétót, álláspontjuk szerint a kormány lépése helyrehozhatatlan károkat okozhat Magyarországnak és a magyar embereknek.",8,13,150,Index,"The opposition parties condemned the veto, in their view the government's action could cause irreparable damage to Hungary and the Hungarian people."
"Mivel az uniós pénzügyi csomag elfogadásához valamennyi tagállam beleegyezése szükséges, a folyamat most a magyar és a lengyel kormány vétóján megakadt. Ugyanakkor David Sassoli, az Európai Parlament elnöke és a parlamenti frakciók egyeztetése után kiadott közös közleményben az áll, hogy ragaszkodnak álláspontjukhoz az Európai Unió költségvetéséről, a koronavírus-járvány miatt létrehozott helyreállítási alapról, illetve a rendszerbe épített jogállamisági feltételekről.",9,13,473,Index,"Since the adoption of the EU financial package requires the consent of all Member States, the process is now stuck in the veto of the Hungarian and Polish Governments. At the same time, the joint communication issued after consultation by President of the European Parliament David Sassoli and the parliamentary factions states that they insist on their position on the budget of the European Union, on the recovery fund for the Crown virus epidemic, and rule of law conditions."
"Lucie Szymanowska, az MTI tudósítója számolt be Krzysztof Szczerski lengyel elnöki kabinetfőnök és külügyi államtitkár pénteki nyilatkozatáról.",1,14,143,Index,"Lucie Szymanowska, MTI correspondent, reported on Friday's statement by the Polish President of the Cabinet and State Secretary for Foreign Affairs Krzysztof Szczerski."
Szczerski az uniós tagállamok vezetőinek csütörtök esti videókonferenciájára reagált a lengyel közszolgálati hírtelevíziónak.,2,14,125,Index,Szczerski responded to the Polish public news television conference of the leaders of the EU Member States on Thursday night.
"
                          A kabinetfőnök szerint
",3,14,74,Index,"
According to the chief of staff"
"Szczerski egyebek között arra utalhatott, hogy Charles Michel, az Európai Tanács (ET) elnöke az uniós értekezlet után kijelentette: ",4,14,132,Index,"Among other things, Szczerski could suggest that Charles Michel, President of the European Council (ET), stated after the EU meeting:"
"a legtöbb tagállam elégedett a jogállamisági mechanizmust is magában foglaló megoldással, mivel azonban néhányan nem támogatják, az ET továbbra is mindenki számára elfogadható megoldást keres.",5,14,192,Index,"most Member States are satisfied with the solution including the Rule of Law Mechanism, but as some do not support it, ET continues to seek a solution that is acceptable to all."
A lengyel államtitkár úgy vélekedett:,6,14,37,Index,The Polish State Secretary said:
"A kabinetfőnök kifogásolta, hogy az Európai Unióban a jogállamiságot nem jogi, hanem politikai értelemben fogják fel. ",7,14,118,Index,"The Chief of Staff objected to the fact that the rule of law in the European Union is not perceived in legal terms, but in political terms."
"Mateusz Morawiecki kormányfő pénteki Facebook-bejegyzésében azt írta: Európa akkor nagy, ha a nemzetek Európája marad, felidézve ezzel a korábbi években még nyitott kérdésként kezelt vitát, hogy egy központosított, föderatív szuperállam, vagy a lazábban szervezett nemzetek Európája jön-e létre.",8,14,295,Index,"In his Facebook post on Friday, Prime Minister Mateusz Morawiecki wrote that Europe is big if it remains a Europe of nations, recalling, in previous years, an open debate on whether a centralised, federative superstate or a Europe of more relaxed nations will be created."
"Mint az Európai Bizottság is felhívja rá a figyelmet, Magyarország a csatlakozás óta az úgynevezett nettó kedvezményezett tagállamok közé tartozik, ami azt jelenti, hogy jóval több az a pénz, amit a támogatásokból kap, mint amennyit befizet. A támogatásokat összesen tíz operatív programon keresztül hívtuk le.",1,15,310,Index,"As the European Commission points out, Hungary has been among the so-called net beneficiary Member States since accession, which means that there is much more money from the subsidies than it pays. The grants have been called through a total of ten operational programmes."
"Nettó haszonélvezőként minden évben a sokszorosát kaptuk annak, amit be kellett fizetnünk az közös büdzsébe. 2014-ben 6,6 milliárd euró állt szemben 1,02 milliárddal (jelenlegi árfolyamon 2376 milliárd forint 367 milliárddal szemben), a következő évek pedig a bizottság kimutatása szerint így festettek:",2,15,303,Index,"Every year, as a net beneficiary, we received many times what we had to pay into the common budget. In 2014, 6.6 billion euros stood against 1.02 billion HUF (2376 billion HUF at the current exchange rate against 367 billion HUF), and in the following years, according to the Commission's statement, painted:"
"A jegybank 2020 szeptemberi inflációs előrejelzésében részletezte, hogy GDP-arányosan hogy nézett ki az Európai Unióból érkező források effektív felhasználása. Az összeg 2014-ben a magyar GDP-nek csaknem 7 százaléka volt, majd 2015-re 8 százalék fölé emelkedett. 2016 és 2019 között az időszak elején GDP-arányosan 2 százalékra csökkent, 2018 óta pedig 4 százalék körül stagnál.",3,15,378,Index,"In its September 2020 inflation forecast, the central bank detailed what the effective use of funds from the European Union looked like in proportion to GDP. The amount amounted to almost 7 percent of Hungarian GDP in 2014, then increased to above 8 percent in 2015. Between 2016 and 2019, it decreased to 2 percent of GDP at the beginning of the period and has been stagnating at around 4 percent since 2018."
"Nem csak ez alapján mondjuk, gazdasági elemzők is időről időre megállapítják, hogy a magyar gazdaságot aktívan pörgetik az unióból érkező források. Uniós segítséggel épült például a Zsolnay Kulturális Negyed, innen sikerült biztosítani az Országos Onkológiai Intézet felújítását, eszközbeszerzéseit vagy a miskolci déli ipari park felépítését, hogy csak néhány példát említsünk.",4,15,378,Index,"Not only on this basis, economic analysts also note from time to time that the Hungarian economy is actively spinning with resources coming from the EU. For example, the Zsolnay Cultural District was built with EU assistance, from here we managed to ensure the renovation of the National Institute of Oncology, the acquisition of equipment or the construction of the southern industrial park in Miskolc, to name just a few examples."
"Ám nem csupán a gigaberuházÁSokhoz, út- vagy csatornaépítéshez, középületek felújításához elengedhetetlen az uniós pénzcsap, de ideális esetben a gazdasági stabilitás alapját adó kis- és középvállalkozások fejlesztéséhez, életben maradásához is létfontosságú.",5,15,259,Index,"However, not only for Gigaber investments, road or sewerage construction and renovation of public buildings, the EU's tap is essential, ideally, for the development and survival of small and medium-sized enterprises, which are the basis for economic stability."
"Ugyan még mindig 9200 milliárd forint a teljes elkölthető keret, a kötelezettségvállalás mégis 10 443 milliárdra szól a kormányzati oldal szerint. Ennek oka lehet, hogy a kormány korábban engedélyezte, hogy a magyar költségvetés terhére lehetséges a túlvállalás az egyes operatív programoknál, illetve befolyásolhatja a forintgyengülés is, melynek nyomán az euróban kapott kapott keret értéke forintban nő. Emellett akadnak olyan projektgazdák, akik nem tudják megvalósítani a projektet, amire pályáztak, így a támogatás visszakerül az Operatív Programokba, s újra ki lehet őket osztani.",6,15,587,Index,"Although the total spendable amount is still 9200 billion HUF, the commitment is still worth 10,443 billion, according to the government side. This may be due to the fact that the government has previously allowed the Hungarian budget to overtake the individual operational programmes, and may also be affected by the forints weakening, as a result of which the value of the funds received in euro increases in HUF. In addition, there are project promoters who are unable to implement the project they applied for, so the support is returned to the Operational Programmes and can be redistributed."
"Arról, hogy a 2021–2027 közötti időszakban mekkora forrásokra számíthatunk Brüsszeltől, arról egy következő cikkünkben fogunk beszámolni. ",7,15,138,Index,What resources can be expected from Brussels in the period 2021-2027 will be discussed in a next article.
"A CEU közgazdász professzora kifejtette, a Költségvetési Tanács tagjai, akik nyáron a legborulátóbbak voltak, jórészt reálisan gondolkodva azt mondták, hogy az GDP-arányos adósságrátánk 69 százalékról 77 százalékra fog felfutni, ami alacsonyabb, mint az euróövezeti átlag. Ez azt jelenti, hogy Magyarország most azon kevesek közé tartozik, amely ha kimegy a piacra, lényegében korlátlanul tud hitelt felvenni.",8,15,409,Index,"The CEU professor of economics explained that the members of the Fiscal Council, who were the most overwhelmingly in the summer, said largely realistically that our debt ratio to GDP will rise from 69 percent to 77 percent, which is lower than the euro area average. This means that Hungary is now one of the few that, if it goes to the market, can obtain loans essentially unlimited."
"– Persze az mindig egy komoly kérdés, hogy mit érdemes hitelből finanszírozni. Ha elhúzódnak a viták az európai finanszírozás ügyében, s az adóbevételeknek is egy jelentős része – az előrejelzések szerint mintegy 6 százaléka – kiesik, akkor a Covid-járvány miatt megnövekvő kiadások közepette a kormány most olyan helyzetben van, hogy gond nélkül kezdeményezhet hitelfelvételt. ",9,15,378,Index,"— Of course, it is always a serious question of what is worth financing from credit. If the debates on European funding are delayed, and a significant part of the tax revenues — around 6% — are projected to be lost, then in the midst of the growing expenditure due to the Covid epidemic, the government is now in a position to start borrowing without problems."
"
                          (Borítókép: Orbán Viktor miniszterelnök az európai uniós tagországok állam- illetve kormányfőinek videokonferenciáján a Karmelita kolostorban 2020. november 19-én. Fotó: MTI / Miniszterelnöki Sajtóiroda / Benko Vivien Cher)
",10,15,275,Index,"
(Bookcover: Prime Minister Viktor Orbán at the videoconference of the Heads of State or Government of the EU member states in the Carmelite Monastery on 19 November 2020. Photo: MTI/Prime Minister's Press Office/Benko Vivien Cher)"
"A lengyel és a magyar vétó ellenére folytatni kell a tárgyalásokat az Európai Unió költségvetési keretéről és a helyreállítási alapról – vélekedett Ivan Korčok szlovák külügyminiszter pénteki interjújában, amelyet a CT24 cseh közszolgálati hírtelevízió közvetített. ",1,16,266,Index,"In spite of the Polish and Hungarian vetos, negotiations on the European Union's budget framework and the recovery fund should be continued, Slovak Foreign Minister Ivan Korčok said in an interview on Friday, broadcast by the Czech public service news television CT24."
"Szlovákia egyáltalán nem örül ennek a vitának, és nagyon rossznak tartaná, ha a jelenlegi válsághelyzetben szükséges gazdasági segítség a jogállamiság kérdésén feneklene meg. Ez a vita nem fogja érdemben befolyásolni a négy visegrádi ország közötti jó viszonyt – ítélte meg a helyzetet a külügyminiszter. ",2,16,305,Index,"Slovakia is absolutely not happy with this debate, and it would be very bad for the economic assistance needed in the current crisis situation to address the rule of law. This debate will not significantly affect the good relations between the four Visegrád countries — the Minister of Foreign Affairs judged the situation."
"A V4-ek gyakran közös állásponton vannak, de nem mindig, s a miniszter nem gondolja, hogy ez a visegrádi csoport „drámai széteséséhez” vezethetne. Meggyőződése, hogy kompromisszumra van szükség. ",3,16,195,Index,"The V4 often share a common position, but not always, and the Minister does not think that this could lead to a 'dramatic disintegration' of the Visegrád Group. He is convinced that a compromise is needed."
"A szlovák külügyminiszter úgy véli, a vita jelen esetben már nemcsak az Európai Bizottságot érinti, hanem a tagállamok közötti megegyezés kérdése is.",4,16,149,Index,"The Slovak Foreign Minister considers that the debate in this case is not only a matter of the European Commission, but also a matter of agreement between the Member States."
"Szerinte most azon kell igyekezni, hogy az asztalon lévő rendszer objektív legyen, és ne lehessen kihasználni nyomásgyakorlásra bizonyos államokra.",5,16,147,Index,"In his view, it is now necessary to try to ensure that the system on the table is objective and that it cannot be exploited to exert pressure on certain states."
"Prága számára az uniós pénzek lehívásának feltételei elfogadhatók, nyilatkozta Tomáš Petříček cseh külügyminiszter.",6,16,115,Index,Czech Foreign Minister Tomáš Petříček said that the conditions for the call of EU funds are acceptable for Prague.
"Soros György fenyegeti Lengyelországot és Magyarországot – erre utalhatott Orbán Viktor miniszterelnök szerint Angela Merkel, amikor a tegnapi uniós vezetői videokonferencia után arról beszélt, hogy fenyegetés helyett kemény munkára van szükség a költségvetés kapcsán előállt patthelyzet. A kormányfő erről a Kossuth Rádió Jó reggel Magyarország című műsorában, a szokásos péntek reggeli interjújában beszélt. Nem szokatlan jelenség, hogy gátlástalanul lehet Magyarországról bármit terjeszteni, de a kormányfő szerint az már tényleg hihetetlen, amik a Soros György által jegyzett cikkben szerepelt. Az ominózus cikkben szereplő állításokat többször is sérelmezte az interjú során. ",1,17,681,Index,"George Soros is threatening Poland and Hungary — according to Prime Minister Viktor Orbán, Angela Merkel said, when after yesterday's video conference on EU leaders, he spoke about the need for hard work to achieve a deadlock on the budget instead of a threat. The Prime Minister spoke about this in his usual Friday morning interview on Kossuth Radio's Good Morning Hungary. It is not unusual to spread anything from Hungary unscrupulously, but according to the Prime Minister, the Prime Minister, what was mentioned in the article written by George Soros is truly incredible. The allegations in the ominous article were repeatedly violated during the interview."
"Nem példátlan az EU esetében, hogy késhegyig menő viták vannak a költségvetés kapcsán – mondta a kormányfő. Szerinte a megegyezésre többfajta megoldás is lehetséges, politikai akarat kérdése a megállapodás. De a viták rendezésének módja az, hogy leülünk egymással, és a végén meg fogunk egyezni – fogalmazott Orbán Viktor, aki szerint Soros György pénzeli mindazokat Európa-szerte, akik arról beszélnek, hogy a vétó miatt a déli tagállamok nem jutnak a pénzükhöz. ",2,17,464,Index,"In the case of the EU, it is not unprecedented that there are head-to-end debates on the budget, the Prime Minister said. According to him, there are several solutions to the agreement, the agreement is a matter of political will. But the way to settle disputes is to sit down with each other, and at the end we will reach an agreement, Mr. Orbán said, who believes that George Soros is funding all those who are talking about the fact that due to the veto, the southern Member States are not getting their money."
"Az Unióval a jogállamisággal kapcsolatos vitáról úgy tartotta, hogy ez az eszköz lényegében arra szolgál, hogyan lehet Magyarországra kényszeríteni olyan feladatokat, amelyeket nem akar, például akár a határkerítés lebontását, vagy azt, hogy menekülteket költöztessenek ide. Eddig ugyanis nem volt ilyen eszköze az Uniónak, és a mostani vita középpontjában is ez áll szerinte, mivel jelenleg is tud, aki akar, a nemzetközi pénzpiacokról alacsony kamat mellett hitelt felvenni. Márpedig a kormányfő szerint a helyreállítási alap lényegében hitelfelvételt takar. Igaz, a hétéves keretköltségvetés forrásait nem említette. Hangsúlyozta viszont, hogy olyan megoldást tartana Magyarország és Lengyelország is elfogadhatónak, amelynél „a jog  útján maradunk, a politikai többség akarata helyett.”",3,17,790,Index,"With the EU on the rule of law debate with the EU, he considered that this instrument essentially serves to impose tasks on Hungary that it does not want, for example, to demolish the border fence or to move refugees here. The Union has not had such an instrument until now, and it is at the heart of this debate, because it is still able to, anyone who wants to borrow from international financial markets at low interest rates. According to the Prime Minister, the recovery fund essentially covers borrowing. True, he did not mention the resources of the seven-year framework budget. He stressed, however, that Hungary and Poland would consider an acceptable solution in which 'we will remain on the way of law instead of the will of the political majority. '"
"Ha ez a vita elhúzódna, és nem indulna meg a válságkezelési alapból a támogatás folyósítása, mi tavasszal önerőből akkor is hozzálátunk a terveink megvalósításához",4,17,163,Index,"If this debate goes on and the funding from the crisis fund is not started, we will continue to implement our plans in the spring."
" – jelentette ki Orbán Viktor. Egyúttal azt is elismerte azért az interjúban, hogy a múlt heti kötvénykibocsátás célja a lejáró adósságok előfinanszírozása mellett egyfajta tartalékképzés volt, épp a jogállamisággal kapcsolatos vita miatt. ",5,17,240,Index,"— said Viktor Orbán. At the same time, he acknowledged in the interview that last week's bond issuance was aimed at pre-financing maturing debts, as a result of a debate on the rule of law."
A kormányfő az operatív törzs reggeli üléséről érkezve beszámolt a friss koronavírus adatokról is:,6,17,98,Index,"After arriving at the morning session of the operational tribe, the Prime Minister also reported on the fresh coronavirus data:"
"4440 új fertőzést igazoltak a hatóságok, és 96 beteg hunyt el az elmúlt 24 órában. ",7,17,83,Index,4440 new infections have been confirmed by authorities and 96 patients have died in the last 24 hours.
"Szavai szerint 7512 embert ápolnak kórházban, közülük 604-en vannak lélegeztetőgépen. Orbán Viktor utalt arra is, hogy jelenleg rendelkezésre áll még 13594 szabad ágy a kórházi Covid-osztályokon, illetve van 1689 lélegeztetőgéppel ellátott ágy is. Közölte azt is, hogy 440 óvodát és 78 iskolát zártak be, emellett 525 iskolában rendeltek el részleges digitális oktatást. ",8,17,371,Index,"According to him, 7512 people are nursed in hospitals, 604 of them are on ventilators. Mr. Orbán also pointed out that at present there are 13594 free beds available in the hospital Corvid departments, and there are 1689 beds with ventilator. He also said that 440 kindergartens and 78 schools have been closed, and 525 schools have ordered partial digital education."
"Az operatív törzs döntött arról is, hogy az önként jelentkező és a tesztelésre kirendelt egyetemisták nemcsak a kórházi, szociális otthonbeli, illetve iskolai tesztelést végzik majd, hanem a többi Covid-gyanús beteg ellenőrzésében is közreműködnek. Orbán Viktor hősöknek nevezte a tesztelésben részt  vevő egyetemistákat. Beszélt arról is, hogy munkába állt az az 1150 katona is, akit a kórházi munkák támogatására vezényeltek át, és további 1150 honvéd áll készenlétben. ",9,17,472,Index,"The operational tribe also decided that voluntary students and seconded for testing will not only carry out hospital, social home or school testing, but will also contribute to the monitoring of other suspected Covid patients. Viktor Orbán called the students involved in the testing as heroes. He also talked about the 1150 soldiers who were deployed to support hospital work, and 1150 more soldiers are on standby."
"Az említett intézményekben a tömeges tesztelést azért rendelte el a kormány, mert kérték. Az operatív törzs pedig bevetési egységeket hozott létre a lebonyolításához a kormányfő beszámolója szerint. ",10,17,199,Index,"In these institutions mass testing was ordered by the government because they requested it. In turn, the operational tribe has set up mission units for its conduct, according to the Prime Minister's report."
"Müller Cecília reggel azt mondta nekem, hogy semmilyen bizonyíték nincs arra, hogy hamarosan enyhülés jön a járvány terjedésében – közölte kérdésre válaszolva a miniszterelnök, aki ismételten felhívta a figyelmet az egyéni védekezés fontossága mellett az idősek és krónikus betegek fokozottabb védelmének szükségességére is. ",11,17,325,Index,"Müller Cecília told me this morning that there is no evidence that there is soon a relief in the spread of the epidemic, said the Prime Minister in response to a question, who once again drew attention to the importance of individual protection for the elderly and chronic patients the need to protect it."
"A vakcina kapcsán elmondta, hogy Magyarország többféle vakcinát is lekötött már az uniós közös beszerzésen keresztül is – összesen 12 millió adagot –, a szakemberek pedig megvizsgálnak mindenféle fejlesztést, és amelyiket engedélyezik, azért felelősséget vállal majd a hatóság is. Úgy fogalmazott, hogy azért rendelünk többfelől, mert az emberek döntik majd el, hogy melyikből kérnek, lesz nyugati, orosz, kínai és izraeli vakcina is. Orbán Viktor szerint még a gyorsan kifejlesztett vakcina mellett is garantálni kell a biztonságot. Készül egy átoltási terv is arra az esetre, amikorra már tömeges mértékben rendelkezésre áll az oltóanyag. ",12,17,641,Index,"Concerning the vaccine, he said that Hungary has already committed several vaccines through joint procurement of the EU — a total of 12 million doses — and the experts will examine all kinds of improvements, and the authorities will take responsibility for any kind of improvements. He said that we are ordering on a number of sides because people will decide which one they want, there will also be Western, Russian, Chinese and Israeli vaccines. According to Mr. Orbán, even with the rapidly developed vaccine, safety must be guaranteed. A vaccination plan is also drawn up in case the vaccine is available in bulk."
"A legtöbb uniós tagország elégedett az Európai Parlamenttel kötött, a jogállamisági mechanizmust is magában foglaló megállapodással, de néhány tagállam nem támogatja azt,  legalábbis az Európai Tanács elnöke, Charles Michel szerint. A politikus az uniós tagállamok vezetőinek informális videokonferenciáját követően arról beszélt, hogy az uniós költségvetésről és a helyreállítási alapról szóló vitában olyan megoldásra van szükség, ami mindenki számára elfogadható – adta hírül az MTI. Az elnök hangsúlyozta, hogy a koronavírus-járvány okozta károk helyreállítását célzó alap vonatkozásában az uniós tagállamoknak egységeseknek kell maradniuk.",1,18,644,Index,"Most EU countries are satisfied with the agreement with the European Parliament, including the rule of law mechanism, but some Member States do not support it, at least according to the President of the European Council, Charles Michel. After the informal videoconference of the leaders of the EU Member States, the politician spoke about the need for a solution that is acceptable to everyone in the debate on the EU budget and the recovery fund — MTI reports. The President stressed that EU Member States should remain united with regard to the Fund to make good the damage caused by the coronavirus epidemic."
"Arról is beszélt az Európai Tanács elnöke, hogy egy ilyen súlyos helyzetben, mint amit Európának okoz a koronavírus-járvány, a tagállamoknak még jobban össze kell hangolniuk erőfeszítéseiket. ",2,18,192,Index,The President of the European Council also spoke about the need for Member States to coordinate their efforts even more in a serious situation like the coronavirus epidemic in Europe.
"Beszámolt arról is, hogy a tagállami vezetők egyetértettek a tesztelés közös megközelítését és kölcsönös elismerését célzó rendszer kialakításának fontosságában, a hatékony és biztonságos oltóanyagok tagállamok közötti méltányos elosztásában, valamint a járvány visszaszorítását célzó korlátozó intézkedések tagországok közötti összehangolásában és fokozatos feloldásának koordinálásában. ",3,18,389,Index,"He also reported that Member States' leaders agreed on the importance of developing a system for a common approach to testing and mutual recognition, a fair distribution of effective and safe vaccines between Member States and restrictive measures to control the epidemic. coordinating and coordinating the phasing out of measures between Member States."
"Ursula von der Leyen, az Európai Bizottság elnöke azt mondta, az Európai Unió még az év vége előtt jóváhagyhatja a Pfizer és a BioNTech közös, valamint a Moderna vállalatok tesztelés alatt álló két, koronavírus elleni vakcináját.",4,18,229,Index,"Ursula von der Leyen, President of the European Commission, said that before the end of the year, the European Union may approve the two coronavirus vaccines that are being tested by Pfizer and BionTech and Moderna companies."
"A helyreállítási alap és az uniós költségvetés körül kialakult vitákról azt mondta az Európai Bizottság elnöke, hogy az öreg kontinensnek már sok nehéz helyzetet kellett túlélnie, ezért a gazdaságmentő csomag minden elemét illető egyetértés elérése érdekében az európai intézmények vezetői a következő időszakban nagyon intenzív munkát folytatnak, hogy egyetértés alakuljon ki. ",5,18,378,Index,"The President of the European Commission said about the debates around the Recovery Fund and the EU budget that the old continent has already had to survive many difficult situations, and therefore, in order to reach agreement on all elements of the rescue package, the leaders of the European institutions at next period, very intensive work is being carried out to reach a consensus."
"Angela Merkel, az Európai Unió Tanácsának soros elnökségét betöltő Németország kancellárja szerint  a német soros elnökség és az Európai Parlament közötti megállapodás jó és kiegyensúlyozott, azonban az uniós tagállamok vezetőit tömörítő Európai Tanács a teljes egyetértés hiányában nem tudja javaslatait az uniós parlament elé terjeszteni. Úgy fogalmazott, hogy Magyarország és Lengyelország egyértelműen kifejezték, hogy jelen formájában nem tudnak egyetérteni a jogállamisági feltételekkel, ezért fenntartják vétójukat az uniós költségvetés és a koronavírus-járvány által okozott károk helyreállítását célzó alappal összefüggésben.",6,18,634,Index,"Angela Merkel, Chancellor of Germany holding the presidency of the Council of the European Union, said that the agreement between the German presidency and the European Parliament is good and balanced, but the European Council, which brings together the leaders of the EU Member States, cannot, without full agreement, to submit its proposals to the EU Parliament. He said that Hungary and Poland have clearly stated that they cannot agree with the rules of law in their present form, and therefore maintain their veto in relation to the EU budget and the fund to make good the damage caused by the coronavirus epidemic."
"A kancellár szerint a magyar és a lengyel vétó ""komoly problémát"" jelent, amit minél előbb meg kell oldani. Mint mondta,",7,18,120,Index,"According to the Chancellor, the Hungarian and Polish veto is a “serious problem”, which must be solved as soon as possible. As he said,"
"fenyegetés helyett kemény közös munkára van szükség a patthelyzet feloldására,",8,18,78,Index,"instead of a threat, hard joint work is needed to unlock the stalemate,"
és a tagállamoknak folytatniuk kell a megbeszéléseket Magyarországgal és Lengyelországgal a megállapodás elérése érdekében.,9,18,123,Index,and the Member States must continue discussions with Hungary and Poland in order to reach an agreement.
"A koronavírus-járvánnyal kapcsolatban kifejtette, amint hozzáférhető a vírus elleni engedélyezett oltóanyag, Európa megkezdi a beoltást. Előre mutatónak nevezte, hogy az Európai Bizottság felkérése alapján már több tagállam rendelkezik részletes oltási programmal és tervekkel a vakcinák elosztását illetően.",10,18,308,Index,"In relation to the coronavirus epidemic, he explained that Europe will start vaccination as soon as the authorised vaccine against the virus is available. He described it as predictive that, at the request of the European Commission, several Member States already have detailed vaccination programmes and plans for the distribution of vaccines."
"Az informális– és a koronavírus-járványhelyzet miatt távkapcsolat segítségével megrendezett – csúcsértekezlet formálisan nem is hozhat döntést az EU költségvetésének (és ami sürgetőbb, a járvány utáni helyreállítási alapnak) tervezett magyar és lengyel vétójáról, ugyanis nem ez a témája, emlékeztetnek forrásaink. Összesen márpedig 1820 milliárd euróról van szó. ",1,19,366,Index,"The summit held with the help of a long-distance relationship due to the informal and coronavirus epidemic situation cannot formally decide on the planned veto of the EU budget (and, more importantly, the post-epidemic recovery fund) in Hungary and Poland, because that is not the subject, remind us of our sources. In total, we are talking about EUR 1820 billion."
"
                          Hivatalosan a mai tanácskozás a járványhelyzettel kapcsolatos európai védekezésról szól, amin nincs mit megvétózni. 
",2,19,168,Index,"
Officially, today's meeting is about European defence against the epidemic situation, where there is nothing to veto. 
"
"
                          Ezzel együtt a mai megbeszélés légkörét főleg a hétfői nagyköveti értekezlet utórezgései határozzák meg; ezen ugyanis hazánk és Lengyelország képviselője egy politikai állásfoglalás keretében értésre adta, 
",3,19,258,Index,"
However, the atmosphere of today's discussion is mainly determined by the follow-up vibrations of the Ambassadors meeting on Monday, which was understood by the representatives of Hungary and Poland in a political resolution, 
"
"akár készek megvétózni az összesen 1800 milliárd eurós hétéves pénzügyi csomagot, ha a kifizetéseket az EU jogállamisági feltételekhez köti. ",4,19,141,Index,whether they are willing to veto the seven-year financial package of EUR 1800 billion if payments are made subject to the EU's rule of law.
"
                          Ezt – mint Varga Judit igazságügyi miniszter a héten az Indexnek elmondta – zsarolóeszköznek tartják, és megerősítették készségüket a vétóra. Brüsszel rendszeresen bírálja hazánkat és Lengyelországot a demokrácia és a jogállamiság helyzetére hivatkozva. 
",5,19,306,Index,"
As Justice Minister Judit Varga told Index this week, this is considered a blackmail tool and confirmed their readiness to veto. Brussels regularly criticises our country and Poland for the situation of democracy and the rule of law. 
"
"
                          A hazai ellenzék viszont árulásnak, lopásnak és történelmi bűnnek tartja, ha Orbán Viktor a vétóval
",6,19,151,Index,"
The domestic opposition, on the other hand, considers it treason, theft and historical sin if Viktor Orbán with the veto"
17 ezer milliárd forintnyi uniós bevételt tesz kockára. ,7,19,56,Index,It puts 17 thousand billion forints of EU revenue at risk.
